@relation arabicText

@attribute arabicclass {Dialect,MSA}
@attribute text String

@data
MSA,'من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحة المياه اما كعلوم و معرفة بالعلوم النووية و الطاقة فأنا أحب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندليف الدوري للعناصر مرورا بالعناصر المشعة و نظرية اينشتاين للطاقة و نظريات الفيزياء الكمية و البحث في عمر البروتون و النيوترينو والكواركات واللبتونات والuncertainty principle و النظائر المشعة و تفتيت الذرة و اشعة جاما و بيتا و الفا و الراديوم و البلوتونيوم و البروتونات و كافة النظريات بما فيها انواع المفاعلات النووية و تجارب الامم فيها مثل اليابان و المانيا و روسيا و فرنسا و امريكا و للعلم فقط انها علوم نظريا سهلة و بسيطة و يستطيع فهمها حتى الانسان ذو الخلفية و الرغبة العلمية و على جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه و نسير فيه بهذا الخصوص بموازنة المخاطر و المكاسب و بعدها و على اساس النتيجة و الفائدة الواضحة يتم الاعتماد لقرارهم ان كان سلبي ام ايجابي'
Dialect,'و سيارة الحكومه من السعوديه اجن هديه يزلامه المسؤالين اكلونا'
MSA,'و سيارة الحكومة من السعودية أتو كهديه يا رجل المسؤولين نهبونا'
Dialect,'التقدم والازدهار يكون مرتبط بقواعد الأمن قبل الشروع في بناء المفاعل عليكم قراءة التقارير الصادرة عن هيئة الطاقة و المخاطر التي سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره و سيكون المفاعل الاردني بديل في أرض ستكون مكباً للنفايات النوويةة المطلع الله'
MSA,'التقدم والإزدهار يكون مرتبط بقواعد الأمن قبل الشروع في بناء المفاعل عليكم قراءة التقارير الصادرة عن هيئة الطاقة و المخاطر التي سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره و سيكون المفاعل الاردني بديل في أرض ستكون مكباً للنفايات النووية ، المطلع الله'
Dialect,'هو أحنا خلينآ نخلص أم هالبرجين الللي صرلهم 16 سنة و بعدين بنفكر نعمل نووي  سلمي  هههه من الديسي'
MSA,'دعنا ننتهي من بناء البرجين الذين صار لهم 16 سنة و بعدها نفكر ماذا نفعل نووي  سلمي  هههه من منطقة الديسي'
Dialect,'يا جاهلين .. يلي بحكي عن الطاقه .. النووي وجودو كفيل بوفاة 10000 شخص وولادة 10000 طفل مشوه .. ولو انو اشي منيح كان ما بزتوه بالصحرا .. وجودو بعيد بقلل مخاطر بس ما بمنعها .. و يلي بحكي انو احنا امه جاهله ما بدها تطور .. بكون هوه الجاهل و عدو نفسو و عدو الانسانية .. و بلا ننوي و بلا زفت ... قال نتطور قال . .لو بدنا نتطور طورنا حالنا من زمان مش على دور الننووي .. شعب جاهل'
MSA,'يا جاهلين .. إلى من يتكلم عن الطاقه .. النووي وجوده كفيل بوفاة 10000 شخص وولادة 10000 طفل مشوه .. ولو انه شيء جيد لما كانوا نفوه في الصحراء .. وجوده في مكان بعيد يقلل المخاطر لكن لا يمنعها .. و من يقول بأننا امة جاهلة لا تريد أن تتطور .. يكون هو الجاهل و عدو نفسه و عدو الإنسانية .. و لا داعي للنووي ... قال نتطور قال . .لو أننا نريد أن نتطور لكنا طورنا أنفسنا منذ زمن و ما إنتظرنا النووي .. شعب جاهل'
Dialect,'اللي موافق عالمفاعل يبنيه جنب داره ... ما يسطح الواحد غير المتحذلقين اللي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم .... رابع افقر دوله في العالم في المياه و تبنى مفاعل نووي !!! استنوا لما يطورو مفاعلات نووية صحراوية و بعدين اشطحوا'
MSA,'الذي يوافق على بناء المفاعل بالقرب من داره ... لا يزعج الشخص غير المتحاذقين من يدعون الفهم أكثر من غيرهم .... رابع أفقر دولة في العالم في المياه و تبني مفاعل نووي !!! إنتظروا إلى أن يتم تطوير مفاعلات نووية صحراوية و من ثم إحلموا'
Dialect,'الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة و ليس لها مخاطر على البيئة و الانسان و نحن الان نعاني من ضائقة مالية كبيرة و شحة مياه شديدة و كلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان و هي الدولة الاكثر تطور في مجال التكنولوجيا و هي عبارة عن جزر و كذلك كم أثر علينا المفاعل النووي الاسرائيلي و حالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد'
MSA,'الدول المتقدمة الآن تتجه لإستخدام الطاقة المتجددة لإنها أقل كلفة و ليس لها مخاطر على البيئة و الإنسان و نحن نعاني الآن من ضائقة مالية كبيرة و شحة مياه شديدة و كلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان و هي الدولة الأكثر تطوراً في مجال التكنولوجيا و هي عبارة عن مجموعة جزر و كذلك كم أثر علينا المفاعل النووي الإسرائيلي و حالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد'
Dialect,'احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماوية شوارع مش مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء .. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .'
MSA,'نحن لا نريده لإننا لا نفهم المفاعل النووي فوق طاقتنا صعب علينا و سأذكركم غداً إسألوا عن مشروع الباص السريع الثقة معدومة ... القمح فاسد المصفاه ليست حسب المواصفات الخضار و الفواكه مواد كيميائية شوارع غير مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء .. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .'
Dialect,'الله يوخذكم'
MSA,'أخذكم الله'
Dialect,'لا يوجد كفائات بالأردن قادرة على ادارة هكذا مشروع , أنو تقدم و أنو ازدهار! العالم كلو ببعد عن النووي الا طوقان , شوفو اليابان الكارثة الصارت فيها لو اتصير بالأردن البلد رايحا تتدمر و جيرانها كمان , وهسا متأكد 100 فلسفجي راح يجي يحكيلي عن كفائات البلد, دخيلكو وينها اذا شوارع ما ابنعرف نبني راح يبنو مفاعل!!!!!!!!'
MSA,'لا يوجد كفاءات في الأردن قادرة على إدارة هكذا مشروع , بحجة التقدم و الإزدهار! العالم بأكمله يبتعد عن النووي الا طوقان , إنظروا إلى اليابان و الكارثة التي حدثت فيها لو أنها حدثت في الأردن فلسوف تتدمر البلد  و جيرانها أيضا , و الآن أنا متأكد 100 متفلسف سوف يأتي ليحدثني عن كفائات البلد , بالله عليكم أين هي هذه الكفاءات اذا كنا لا نعرف كيف نبني شوارع فكيف لنا أن نبني مفاعل !!!!!!!!'
Dialect,'لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث اولا: كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة، ثانيا: لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة و ليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا:من حق المواطنين و اصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل و من الغاز الطبيعي المؤمل مستقبلا و من الطاقة الشمسية و من طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية.'
MSA,'لنفرض جدلا ان لا اضرار صحية و بيئية سوف تنتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث أولاً: كلفة بناء عالية جدا لعدم إمتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشرة أجيال القادمة، ثانيا: لنفس السبب سوف نستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة و ليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافي للتبريد رابعا: من حق المواطنين و اصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. في نفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل و من الغاز الطبيعي المؤمل مستقبلا و من الطاقة الشمسية و من طاقة الرياح بتكلفة أقل نسبيا بكثير من النووي دون اعباء ديون إضافية.'
Dialect,'الحمدلله في خضم تفوق امريكا بمجال الطاقة النووية و سعيها للتخلص من نفط العرب , و استخدامها الطاقة النووية في الفضاء : نحن نجمع التواقيع لرفضها :))'
MSA,'الحمد لله في خضم تفوق أمريكا بمجال الطاقة النووية و سعيها للتخلص من نفط العرب , و استخدامها الطاقة النووية في الفضاء : نحن نجمع التواقيع لرفضها :))'
Dialect,'حسبنا الله و نعم الوكيل فيكوا'
MSA,'حسبنا الله و نعم الوكيل فيكم'
Dialect,'احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماوية شوارع مش مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .'
MSA,'نحن لا نريده لإننا لا نفهم المفاعل النووي فوق طاقتنا صعب علينا و سأذكركم غداً إسألوا عن مشروع الباص السريع الثقة معدومة ... القمح فاسد المصفاه ليست حسب المواصفات الخضار و الفواكه مواد كيميائية شوارع غير مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء .. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .'
Dialect,'اذا اليابان اكلت هوا من النووي كيف احنا'
MSA,'اذا كانت اليابان قد عانت من النووي فكيف سيكون حالنا'
Dialect,'الرفض القاطع للمشروع لانه بس يتم و يشتغل تمام رايح ينباع او يتم تاجيره و نصير نشتري وقود مخصب و يصير اغلى من الكهربا لانه للاسف ما فيه شي بعيد عن ايدي المفسدين و الاستغلاليين او يصير زي مشروع تسمين البقر ؛ينتجو الطاقه و تروح لاطراف خارجيه خالرج اطار حاجة العامه'
MSA,'الرفض القاطع للمشروع لانه في حال إتمامه و تشغيله سوف يباع او يتم تأجيره و ولسوف نشتري وقوداً مخصب و يصير اغلى من الكهرباء لانه للأسف لا شيء بعيد عن أيدي المفسدين و الاستغلاليين او يصبح مثل مشروع تسمين البقر ؛ لينتجوا الطاقه و تذهب لأطراف خارجية خارج إطار الحاجة العامة'
Dialect,'ليش ما نتعلم من الي صار في اليابان، وروسيا، ألمانيا ألغت نظرتها في بناء مفاعلات نووية و استخدام الطاقة البديلة.'
MSA,'لما لا نتعلم من الذي حدث في اليابان، وروسيا، ألمانيا ألغت نظرتها في بناء مفاعلات نووية و استخدام الطاقة البديلة.'
Dialect,'هات ناس تفهم .. و المثل بحكي اسأل مجرب و لا تسأل خبير'
MSA,'لن يعي الناس ذلك .. يقول المثل  إسأل مجرب و لا تسأل خبير'
Dialect,'فعلا الطاقة الشمسية هي البديل و ليست النووية لان حتى الدول المتقدمة صارت تتخلص من النووي و تتجة للطاقة البديلة و خصوصا احنا الاردن بلد مشمس عالطول السنة و الكلفة ما اتوقع اكثر من الطاقة النووية'
MSA,'فعلا الطاقة الشمسية هي البديل و ليست النووية  حتى الدول المتقدمة أصبحت تتخلص من النووي و تتجة للطاقة البديلة و خصوصا أن الأردن بلد مشمس طوال العام و الكلفة لا أتوقع أن تكون أكثر من كلفة الطاقة النووية'
Dialect,'أوروبا كلها تريد التخلص من النووي و تحاول استثمار الطاقه الشمسية و ما عندهم شمس قد ربعنا و احنا بدنا نأخذ الي راحت موضته وولى زمانه من كثر إخلاص القائمين على مصلحة الوطن يا حسره'
MSA,'أوروبا بأكملها تريد التخلص من النووي و تحاول استثمار الطاقه الشمسية و ليس لديهم ربع شمسنا و نحن نريد أن نأخذ القديم وما ولى زمانه لكثرة إخلاص القائمين على مصلحة الوطن وا حسرتاه'
Dialect,'يااخوان احنا مع التطور بس منين نجيب سبعة عشر مليار دولار تكلفة المشروع . لنبدا اولا بااستغلال الرياح و الطاقه الشمسيه و الصخر الزيتي و نبد بتخفيف الفاتوره النفطيه .و المثل بقول خذ من طين بلادك و حط علئ خدادك.'
MSA,'يا اخوان نحن مع التطور لكن أين لنا  بسبعة عشر مليار دولار تكلفة المشروع . لنبدأ اولا بإستغلال الرياح و الطاقة الشمسية و الصخر الزيتي و نبدأ بتخفيف الفاتورة النفطية . يقول المثل خذ من طين بلادك و ضع على خديك.'
Dialect,'هههههههههههههههههههههههههه الحلو انكم بتحكوا على اساس انو الأردن ما فيه فساد و سرقات ...........'
MSA,'هههههههههههههههههههههههههه الجميل أنكم تتكلمون على أساس أن الأردن لا يوجد فيه فساد و سرقات'
Dialect,'الك يوم يا ظالم'
MSA,'لك يوم يا ظالم'
Dialect,'يا أخوان القصه مش قصة طاقه متجدده او نوويه الموضوع كالتالي سواء عملنا هاي او تلك كلوا رايح في جيبة فلان و علنتان زي ما باعوا البوناس و الفوسفات و من اسبوعين لما باعوا المطار لشركه فرنسيه هيك رح يصير بالمفاعل النووي او محطات الطاقة المتجدده يعني بين قوسين آخريتها تنباع فقبل ما انلم تواقع لازم نلم بعضنا و نروح نحاسب كل واحد لعب قمار فينا و نحاسب كل واحد باع شغله بتخصنا و بتخص بلدنا بدون ما يوخذ رأينا لأنو احنا بلشنا نعد لورى و بعتذر على الإطاله........'
MSA,'يا أخوان القصه ليست قصة طاقه متجدده او نوويه الموضوع كالتالي سواء عملنا هذه او تلك فكله واقع في جيب فلان و علتان كما باعوا البوتاسيوم و الفوسفات و منذ إسبوعين حين باعوا المطار لشركة فرنسية سيحدث المثل بالمفاعل النووي أو محطات الطاقة المتجدده يعني بين قوسين في نهايتها سوف تباع قبل أن نجمع تواقيع يجب أن نجمع بعضنا و نذهب لنحاسب كل شخص لعب قمار فينا و نحاسب كل شخص باع شيء يخصنا و يخص بلدنا دون أن يأخذ رأينا لأننا بدأنا بالتراجع و أعتذر على الإطالة ........'
Dialect,'ههههههههههههههه ما بقدروا'
MSA,'ههههههههههههههه لا يستطيعون'
Dialect,'ولا بقلو بيضه'
MSA,'ليس بيدهم شيء'
Dialect,'يخسو الشيعه الخنزير'
MSA,'خسأت الشيعة'
Dialect,' طوقان بدور ع منصب يضل فيه عشر سنين لقدام لاسئلان في نووي و لا سلامة الاردن'
MSA,' طوقان يبحث عن منصب يبقى فيه عشر سنوات إلى الأمام لا يعنيه النووي و لا سلامة الأردن'
Dialect,'حتى نعرف نحل مشكلة المجاري بعدين منعمل مفاعلات'
MSA,'الى أن نستطيع حل مشكلة المجاري أولا ومن ثم نقوم بصنع مفاعلات'
Dialect,' و الله انو مكب نفايات نوويه و أنا اشتغلت بالمفاعل و موقعه بعلان بالسلط '
MSA,' و الله انه مكب نفايات نووية و أنا إشتغلت في المفاعل و موقعه في علان في السلط'
Dialect,'و الله و الله عباره عن أعاده تدوير للمخلفات النوويه و الأردن منها بس الأرض و الجمهور بتراب الفلوس ارحمو هل البلد هلكتوها صرنا علا لسان الكل انا إحنا حراميه و بس كلشي انباع بالبلد الواحد خايفه بكره يبعيوه كمان ارحمونا الله لا يسامحكم'
MSA,'و الله و الله عبارة عن إعاده تدوير للمخلفات النووية و الأردن منها لكن الأرض و الجمهور بتراب الفلوس ارحموا هذا البلد ذبحتوها أصبحنا كلمة على لسان الجميع بأننا لصوص وإذا ما تم بيع كل ما في البلد يخاف الشخص غداً أن يبيعوه هو أيضا ارحمونا لا سامحكم الله'
Dialect,'الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه و اﻷهم من هيك انه المفاعل بحاجه لتبريد دائم و للاسف وين المي يلي عنا؟؟؟؟'
MSA,'الموضوع ليس له علاقة بالتخلف لكن عندما تكون الأضرار اكثر من الفائده فلا حاجة له و اﻷهم من ذلك ان المفاعل بحاجه لتبريد دائم و للأسف ليس لدينا الماء الكافي'
Dialect,'اللة لا يشبعكو يا حرامية'
MSA,'لا أشبعكم الله أيها اللصوص'
Dialect,'لا للناووي'
MSA,'لا للنووي'
Dialect,'الي انا شايفو انو المفاعل راح ينعمل في الاردن و راح يخدم دول تانية.... يعني مش عشان سواد عيونا...'
MSA,'ما أراه هو أن المفاعل سوف يتم بناءه في الأردن ليخدم دول أخرى.... يعني ليس لمصلحتنا الخاصة ...'
Dialect,'انا مع الاخ محمد سلامة بهالموضوع '
MSA,'انا مع الاخ محمد سلامة في هذا الموضوع '
Dialect,'لإنه النووي ضرره علينا اكتر بكتير من فوائده '
MSA,'لإن ضرر النووي علينا اكثر بكثير من فوائده '
Dialect,'و إذا فادنا بشي رح يكون في خسارة كبيرة بالاخر'
MSA,'و إذا أفادنا بشيء سوف يكون له أضرار كبيرة في الآخر'
Dialect,'المشكله احنا امه لا تتعلم من غيرها تسريب المفاعل الياباني و الكثير الكثير ا.. احدى الدول الاوروبيه اعلنت باستبدال المفاعلات النوويه بطاقه البديه و الغريب انه بنفس اليوم اعلنت السعوديه بانشاء مفاعلات نوويه (سلميه) لا ذكر اسم الدوله الاوروبيه اعتقد المانيا ..انني اقسم بالله العظيم انني افضل النوم بكير و استغني عن الكهرباء كليا اذا كانت بمفاعل نووي على الاراضي الاردنيه'
MSA,'المشكله بأننا امة لا تتعلم من غيرها تسريب المفاعل الياباني و الكثير الكثير .. إحدى الدول الأوروبيه أعلنت إستبدال المفاعلات النووية بالطاقة البديله و الغريب انه في نفس اليوم أعلنت السعودية إنشاء مفاعلات نوويه (سلميه) لا أذكر اسم الدولة الاوروبية بإعتقادي المانيا ..انني اقسم بالله العظيم انني افضل النوم باكراً و أن أستغني عن الكهرباء كليا اذا كان الحل إنشاء مفاعل نووي على الأراضي الاردنية'
Dialect,'الا يكفي ان نسبة مرضى السرطان في الاردن اعلى نسبة عالميه بسبب مفاعل دايمونه الاسرائيلي .و بكل جهل نضعهه في بلدنا؟؟؟؟؟؟؟؟؟؟؟؟؟؟'
MSA,'ألا يكفي ان نسبة مرضى السرطان في الأردن أعلى نسبة عالمياً بسبب مفاعل دايمونه الإسرائيلي .و بكل جهل نضعهه في بلدنا ؟؟؟؟؟؟؟؟؟؟؟؟؟؟'
Dialect,'اي تقدم اي ازدهار مفاعل النووية بعمل الامراض كثير اهم السرطان الله يبعده عنها و انا معهم رفض المفاعل النووية'
MSA,'أي تقدم أي إزدهار مفاعل نووي يسبب أمراضاً كثيرة أخطرها السرطان أبعدنا الله عنها  و أنا معهم في رفض المفاعل النووي'
Dialect,'أنا ضد النووي .و الأﺟﺪﻯ ﺑﺪﻭﻟﻪ كالأردن البحث عن مصادر للطاقه النظيفه .و خصوصا إننا نفتقر للماء . و الأجدى بنا أيضا أن نبحث عن سبل لحل مشكلة المياه بالمبالغ التي ستصرف على المفاعلات النوويه'
MSA,'أنا ضد النووي .و الأجدر بدولة كالأردن البحث عن مصادر للطاقه النظيفه .و خصوصا أننا نفتقر للماء . و الأجدر بنا أيضا أن نبحث عن سبل لحل مشكلة المياه بالمبالغ التي ستصرف على المفاعلات النوويه'
Dialect,'مهو اصلأ زي مشروع الباص السريع يلي استملكو عشانه شارع المحطة كاملا و لساتنة منسمع عنو ما شفنا'
MSA,'هذا كمثل مشروع الباص السريع الذي قاموا بسببه بتملك شارع المحطة بأكمله والى الآن نسمع عنه ولم نره'
Dialect,'ما انتو ادرى انو الموضوع مش لصالح الصحه العامه بعدين مش كل اشي بتعملو امريكا لازم نعملو و نصير امعه اصلا احنا دول امعه شو بتحكي امريكا ولا الضالين امين نفسي امريكا تقلدنا باشي واحد'
MSA,'أنتم أدرى بأن الموضوع ليس لصالح الصحة العامة ومن ثم لا يجب علينا أن نفعل ونؤيد كل ما تفعله أمريكا نحن دول إمعة أمريكا لا تأبه بنا أتمنى أن تقلدنا أمريكا بشيء واحد'
Dialect,'للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما اعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
